Name,English,Janpanese
Rhino,"The rhinoceros is a large herbivorous mammal native to Africa and Asia. The rhino also has a large horn in the middle of its face and some species of rhino have a second smaller horn above the larger one. Rhino feeds are grass, leaves, buds, branches and fruits.  ",???????????????????????????????????????????1.5????????????????1.5?????????????????????????????????????????????????????????????????????????????????????????????????????
Crocodile,Crocodiles are reptiles. Crocodiles are fast over short distances. They have sharp teeth. Crocodiles have the strongest bite of any animal in the world and feed on a wide variety of living and dead mammals and fish.,??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Bear,"Bear are classified as caniforms, or doglike carnivorans which have excellent sense of smell. they are adept runners, climbers, and swimmers. They are also excellent fish catchers.",????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????500??????????????
Tiger,"The tiger is the biggest species of the cat family. The tiger is the most powerful of all the big cats, and is native to east and southern Asia. Their preys are snakes, boar, buffalo, crocodiles, deer and camels.",??????????????????????4.5????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Peacock,"Peacock is male peafowl. Peacocks are well known for their magnificent, beautiful tail feather displays during courtship to attract a mate and to ward off enemies. Peacock are omnivores and eat mostly plant parts, ",????????????????????????????????????????????????????????????????????????????????????????????????3???????????????????????? ?????????????????????????????????????????????????????
Horse,"Horses are herbivores with relatively large bodies, long mane and ability to run fast. Horses were tamed by human for riding and traction. They are also very sensitive in nature and they form a very strong bond to their owners.",???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Kangaroo,Kangaroo is the largest of the marsupials and most well-known for its ability to jump a phenomenal distance. Kangaroos have a deep pouch on their front in which to carry their young.,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Buffalo,"There are two groups of buffalo in the world: African buffalo and Water Buffalo. Afican buffalo can be found from the highest mountains to sea level areas, and the buffalo tends to prefer habitat with dense cover such as reeds and thickets.",???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Sheep,"The sheep is a quadrupedal, ruminant mammal typically kept as livestock. Sheep are raised for fleece, meat and milk. Sheep are herbivores that eat vegetation such as grass.",???(?)?????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Frog,"A frog is an amphibian. They lay their eggs in water. The eggs hatch into a tadpole which lives in water until it metamorphoses into an adult frog. They live near swamps, ponds or in a damp place. Frogs eat insects, such as flies and moths, as well as snails, slugs and worms.",???????????????????????????????????????????????????????????????????????????????? ????????????????????????????????????????????????????? ???????????????????????????????????????????????????????? 
Parrot,"Parrots are colorful, eye-catching birds, living in most tropical and subtropical regions. Parrots are one of the most intelligent bird species. Some species are known for imitating human voices. Most parrot species rely on seeds as food. Others may eat fruit, nectar, flowers or small insects.",?????????????????????????????????????????????????????????????????????????????????????????????????????????????
Dog,"The dog was the first domesticated species. Dogs vary widely in shape, size and colors. They are very intelligent and loyal to human. Dogs have good sense of smell, good vision and their sense of hearing is significantly greater than a human's.",??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????

